deviceId,water_temp,air_temp,ph,timestamp,month,day,hours
esp8266_C5CBC1,25.88,20.88,5.919531,2019-05-23 02:35:18.41 UTC,5,23,2
esp8266_C5CBC1,26,20.88,5.802062,2019-05-23 02:35:23.402 UTC,5,23,2
esp8266_C5CBC1,25.88,20.88,5.805344,2019-05-23 02:35:28.414 UTC,5,23,2
esp8266_C5CBC1,25.88,20.88,5.81125,2019-05-23 02:35:33.405 UTC,5,23,2
esp8266_C5CBC1,25.94,20.88,5.773187,2019-05-23 02:35:38.431 UTC,5,23,2
esp8266_C5CBC1,25.94,20.88,5.762031,2019-05-23 02:35:43.415 UTC,5,23,2
esp8266_C5CBC1,25.88,20.88,5.825687,2019-05-23 02:35:48.403 UTC,5,23,2
esp8266_C5CBC1,25.94,20.88,5.919531,2019-05-23 02:35:53.41 UTC,5,23,2
esp8266_C5CBC1,25.94,20.88,6.022563,2019-05-23 02:35:58.402 UTC,5,23,2
esp8266_C5CBC1,25.81,20.88,5.92675,2019-05-23 02:36:03.411 UTC,5,23,2
esp8266_C5CBC1,25.94,20.88,5.874906,2019-05-23 02:36:08.404 UTC,5,23,2
esp8266_C5CBC1,25.88,20.88,5.886719,2019-05-23 02:36:13.408 UTC,5,23,2
esp8266_C5CBC1,25.94,20.88,6.023875,2019-05-23 02:36:18.404 UTC,5,23,2
esp8266_C5CBC1,25.88,20.88,6.027813,2019-05-23 02:36:23.42 UTC,5,23,2
esp8266_C5CBC1,25.88,20.88,6.009437,2019-05-23 02:36:28.434 UTC,5,23,2
esp8266_C5CBC1,25.94,20.88,5.938563,2019-05-23 02:36:33.407 UTC,5,23,2
esp8266_C5CBC1,25.81,20.88,5.932656,2019-05-23 02:36:38.61 UTC,5,23,2
esp8266_C5CBC1,25.88,20.88,6.052094,2019-05-23 02:36:43.414 UTC,5,23,2
esp8266_C5CBC1,25.81,20.88,6.0055,2019-05-23 02:36:48.408 UTC,5,23,2
esp8266_C5CBC1,25.94,20.88,5.958906,2019-05-23 02:36:53.418 UTC,5,23,2
esp8266_C5CBC1,25.94,20.88,5.885406,2019-05-23 02:36:58.4 UTC,5,23,2
esp8266_C5CBC1,25.88,20.88,5.764656,2019-05-23 02:37:03.407 UTC,5,23,2
esp8266_C5CBC1,25.94,20.88,5.790906,2019-05-23 02:37:08.41 UTC,5,23,2
esp8266_C5CBC1,25.94,20.88,5.981219,2019-05-23 02:37:13.407 UTC,5,23,2
esp8266_C5CBC1,25.94,20.88,5.888031,2019-05-23 02:37:18.413 UTC,5,23,2
esp8266_C5CBC1,25.88,20.88,5.783031,2019-05-23 02:37:23.4 UTC,5,23,2
esp8266_C5CBC1,25.81,20.88,5.782375,2019-05-23 02:37:28.411 UTC,5,23,2
esp8266_C5CBC1,25.88,20.88,5.962844,2019-05-23 02:37:33.449 UTC,5,23,2
esp8266_C5CBC1,26,20.88,6.035688,2019-05-23 02:37:38.4 UTC,5,23,2
esp8266_C5CBC1,25.94,20.88,6.038969,2019-05-23 02:37:43.405 UTC,5,23,2
esp8266_C5CBC1,25.81,20.88,6.025844,2019-05-23 02:37:48.408 UTC,5,23,2
esp8266_C5CBC1,25.81,20.88,5.821094,2019-05-23 02:37:53.401 UTC,5,23,2
esp8266_C5CBC1,26,20.88,5.779094,2019-05-23 02:37:58.407 UTC,5,23,2
esp8266_C5CBC1,25.88,20.88,5.8795,2019-05-23 02:38:03.411 UTC,5,23,2
esp8266_C5CBC1,25.75,20.88,5.953,2019-05-23 02:38:08.413 UTC,5,23,2
esp8266_C5CBC1,25.94,20.88,6.046188,2019-05-23 02:38:13.41 UTC,5,23,2
esp8266_C5CBC1,25.94,20.88,5.992375,2019-05-23 02:38:18.423 UTC,5,23,2
esp8266_C5CBC1,25.94,20.88,5.975969,2019-05-23 02:38:23.403 UTC,5,23,2
esp8266_C5CBC1,25.94,20.88,5.945781,2019-05-23 02:38:28.427 UTC,5,23,2
esp8266_C5CBC1,25.81,20.88,5.878844,2019-05-23 02:38:33.415 UTC,5,23,2
esp8266_C5CBC1,25.88,20.88,5.780406,2019-05-23 02:38:38.432 UTC,5,23,2
esp8266_C5CBC1,25.81,20.88,5.857844,2019-05-23 02:38:43.406 UTC,5,23,2
esp8266_C5CBC1,25.94,20.88,6.035688,2019-05-23 02:38:48.422 UTC,5,23,2
esp8266_C5CBC1,-127,20.88,6.019281,2019-05-23 02:38:53.42 UTC,5,23,2
esp8266_C5CBC1,25.81,20.88,5.959563,2019-05-23 02:38:58.409 UTC,5,23,2
esp8266_C5CBC1,25.75,20.88,6.038969,2019-05-23 02:39:03.407 UTC,5,23,2
esp8266_C5CBC1,25.88,20.88,5.888688,2019-05-23 02:39:08.421 UTC,5,23,2
esp8266_C5CBC1,26,20.88,5.7955,2019-05-23 02:39:13.412 UTC,5,23,2
